,precision,recall,f1-score,support
A,0.9091,1.0000,0.9524,20.0000
B,1.0000,0.9750,0.9873,40.0000
C,0.9714,1.0000,0.9855,34.0000
D,1.0000,1.0000,1.0000,38.0000
E,1.0000,0.9706,0.9851,34.0000
F,0.9231,0.9474,0.9351,38.0000
G,0.9524,1.0000,0.9756,40.0000
H,1.0000,1.0000,1.0000,40.0000
I,1.0000,1.0000,1.0000,39.0000
J,1.0000,0.9333,0.9655,15.0000
K,1.0000,1.0000,1.0000,39.0000
L,1.0000,1.0000,1.0000,39.0000
M,0.9474,0.9474,0.9474,19.0000
N,0.9444,0.8947,0.9189,19.0000
O,1.0000,1.0000,1.0000,28.0000
P,1.0000,1.0000,1.0000,30.0000
Q,0.9545,1.0000,0.9767,21.0000
R,1.0000,1.0000,1.0000,39.0000
S,1.0000,0.8571,0.9231,14.0000
T,0.9143,0.9143,0.9143,35.0000
U,1.0000,1.0000,1.0000,34.0000
V,1.0000,1.0000,1.0000,39.0000
W,1.0000,1.0000,1.0000,40.0000
X,0.9630,1.0000,0.9811,26.0000
Y,1.0000,1.0000,1.0000,39.0000
Z,1.0000,0.8000,0.8889,10.0000
accuracy,0.9815,0.9815,0.9815,0.9815
macro avg,0.9800,0.9708,0.9745,809.0000
weighted avg,0.9820,0.9815,0.9813,809.0000
