,precision,recall,f1-score,support
A,0.9444,0.8500,0.8947,40.0000
B,1.0000,0.9750,0.9873,40.0000
C,1.0000,0.9250,0.9610,40.0000
D,1.0000,0.9500,0.9744,40.0000
E,1.0000,0.8750,0.9333,40.0000
F,0.9500,0.9500,0.9500,40.0000
G,0.8235,0.7000,0.7568,40.0000
H,0.9756,1.0000,0.9877,40.0000
I,0.8222,0.9250,0.8706,40.0000
J,0.9048,0.9500,0.9268,40.0000
K,1.0000,0.9750,0.9873,40.0000
L,0.9750,0.9750,0.9750,40.0000
M,0.9722,0.8750,0.9211,40.0000
N,0.9048,0.9500,0.9268,40.0000
O,0.9512,0.9750,0.9630,40.0000
P,1.0000,1.0000,1.0000,40.0000
Q,0.9500,0.9500,0.9500,40.0000
R,0.8542,0.8200,0.8367,50.0000
S,0.7917,0.9500,0.8636,40.0000
T,1.0000,0.8500,0.9189,40.0000
U,0.7660,0.9000,0.8276,40.0000
V,0.7317,0.7500,0.7407,40.0000
W,0.9737,0.9250,0.9487,40.0000
X,0.9268,0.9500,0.9383,40.0000
Y,0.8372,0.9000,0.8675,40.0000
Z,0.8444,0.9500,0.8941,40.0000
accuracy,0.9143,0.9143,0.9143,0.9143
macro avg,0.9192,0.9152,0.9155,1050.0000
weighted avg,0.9186,0.9143,0.9147,1050.0000
